word,meaning
accept,受け入れる
achieve,達成する
advantage,利点
affect,影響を与える
announce,発表する
apply,申し込む
approach,近づく
attend,出席する
avoid,避ける
benefit,利益
cause,引き起こす
compare,比較する
concern,関係する
consider,考慮する
continue,続ける
develop,発達させる
discover,発見する
effort,努力
encourage,励ます
environment,環境
experience,経験
improve,改善する
increase,増加する
influence,影響
manage,管理する
opportunity,機会
prepare,準備する
prevent,防ぐ
reduce,減らす
require,必要とする
respond,反応する
result,結果
suggest,提案する
support,支える
tradition,伝統
transport,輸送
value,価値
various,さまざまな
volunteer,ボランティア
wonder,不思議に思う
accept,受け入れる
achieve,達成する
advantage,利点
affect,影響を与える
announce,発表する
apply,申し込む
approach,近づく
attend,出席する
avoid,避ける
benefit,利益
cause,引き起こす
compare,比較する
concern,関係する
consider,考慮する
continue,続ける
develop,発達させる
discover,発見する
effort,努力
encourage,励ます
environment,環境
experience,経験
improve,改善する
increase,増加する
influence,影響
manage,管理する
opportunity,機会
prepare,準備する
prevent,防ぐ
reduce,減らす
require,必要とする
respond,反応する
result,結果
suggest,提案する
support,支える
tradition,伝統
transport,輸送
value,価値
various,さまざまな
volunteer,ボランティア
wonder,不思議に思う
word,meaning
accept,受け入れる
achieve,達成する
advantage,利点
affect,影響を与える
announce,発表する
apply,申し込む
approach,近づく
attend,出席する
avoid,避ける
benefit,利益
cause,引き起こす
compare,比較する
concern,関係する
consider,考慮する
continue,続ける
develop,発達させる
discover,発見する
effort,努力
encourage,励ます
environment,環境
experience,経験
improve,改善する
increase,増加する
influence,影響
manage,管理する
opportunity,機会
prepare,準備する
prevent,防ぐ
reduce,減らす
require,必要とする
respond,反応する
result,結果
suggest,提案する
support,支える
tradition,伝統
transport,輸送
value,価値
various,さまざまな
volunteer,ボランティア
wonder,不思議に思う
accept,受け入れる
achieve,達成する
advantage,利点
affect,影響を与える
announce,発表する
apply,申し込む
approach,近づく
attend,出席する
avoid,避ける
benefit,利益
cause,引き起こす
compare,比較する
concern,関係する
consider,考慮する
continue,続ける
develop,発達させる
discover,発見する
effort,努力
encourage,励ます
environment,環境
experience,経験
improve,改善する
increase,増加する
influence,影響
manage,管理する
opportunity,機会
prepare,準備する
prevent,防ぐ
reduce,減らす
require,必要とする
respond,反応する
result,結果
suggest,提案する
support,支える
tradition,伝統
transport,輸送
value,価値
various,さまざまな
volunteer,ボランティア
wonder,不思議に思う
